G27,G08,G28,G07,G26,G02,G21,G10,G18,G31,G16,G23
1,1.0,,662.0,1,38.0,2072.0,1,1,1.0,1,1
12,12.0,,673.0,12,105.0,2363.0,12,12,12.0,12,12
23,23.0,,684.0,23,116.0,2374.0,23,23,23.0,23,23
34,34.0,,695.0,34,127.0,2385.0,34,34,34.0,34,34
45,45.0,,706.0,45,138.0,2396.0,45,45,45.0,45,45
56,56.0,,717.0,56,149.0,2407.0,56,56,56.0,56,56
67,67.0,,728.0,67,160.0,2418.0,67,67,67.0,67,67
78,78.0,,739.0,78,171.0,2429.0,78,78,78.0,78,78
89,89.0,,750.0,89,182.0,2440.0,89,89,89.0,89,89
100,100.0,,761.0,100,193.0,2451.0,100,100,100.0,100,100
111,111.0,,772.0,111,204.0,2462.0,111,111,111.0,111,111
122,122.0,,783.0,122,217.0,2473.0,122,122,122.0,122,122
133,133.0,,794.0,133,228.0,2484.0,133,133,133.0,133,133
144,144.0,,805.0,144,239.0,2495.0,144,144,144.0,144,144
155,155.0,,816.0,155,250.0,2506.0,155,155,155.0,155,155
166,166.0,,827.0,166,261.0,2517.0,166,166,166.0,166,166
177,177.0,,839.0,177,273.0,2528.0,177,177,177.0,177,177
188,188.0,,850.0,188,286.0,2539.0,188,188,188.0,188,188
199,199.0,,861.0,199,299.0,2550.0,199,199,199.0,199,199
210,210.0,,872.0,210,344.0,2561.0,210,210,210.0,210,210
221,221.0,,915.0,221,357.0,2572.0,221,221,221.0,221,221
232,232.0,,2011.0,232,657.0,2583.0,232,232,232.0,232,232
243,243.0,,2022.0,243,668.0,2594.0,243,243,243.0,243,243
254,254.0,,2033.0,254,679.0,2605.0,254,254,254.0,254,254
265,265.0,,2044.0,265,690.0,2616.0,265,265,265.0,265,265
276,276.0,,2055.0,276,701.0,2627.0,276,276,276.0,276,276
287,287.0,,2066.0,287,712.0,2638.0,287,287,287.0,287,287
298,298.0,,2077.0,298,723.0,2649.0,298,298,298.0,298,298
309,309.0,,2088.0,309,734.0,2660.0,309,309,309.0,309,309
320,320.0,,2099.0,320,745.0,2671.0,320,320,320.0,320,320
331,331.0,,2110.0,331,756.0,2682.0,331,331,331.0,331,331
342,342.0,,2121.0,342,767.0,2693.0,342,342,342.0,342,342
353,353.0,,2132.0,353,778.0,2704.0,353,353,353.0,353,353
364,364.0,,2143.0,364,789.0,2715.0,364,364,364.0,364,364
375,375.0,,2155.0,375,800.0,2726.0,375,375,375.0,375,375
386,386.0,,2166.0,386,811.0,2737.0,386,386,386.0,386,386
397,397.0,,2177.0,397,822.0,2748.0,397,397,397.0,397,397
408,408.0,,2188.0,408,833.0,2759.0,408,408,408.0,408,408
419,419.0,,2199.0,419,844.0,2770.0,419,419,419.0,419,419
430,430.0,,2210.0,430,855.0,2781.0,430,430,430.0,430,430
441,441.0,,2221.0,441,,2792.0,441,441,441.0,441,441
452,452.0,,2232.0,452,,2803.0,452,452,452.0,452,452
463,463.0,,2243.0,463,,2814.0,463,463,463.0,463,463
474,474.0,,2254.0,474,,2825.0,474,474,474.0,474,474
485,485.0,,2265.0,485,,2836.0,485,485,485.0,485,485
496,496.0,,2276.0,496,,2847.0,496,496,496.0,496,496
507,507.0,,2287.0,507,,2858.0,507,507,507.0,507,507
518,518.0,,2298.0,518,,2869.0,518,518,518.0,518,518
529,529.0,,2309.0,529,,2880.0,529,529,529.0,529,529
540,540.0,,2320.0,540,,2891.0,540,540,540.0,540,540
551,552.0,,2331.0,551,,2902.0,551,551,551.0,551,551
562,569.0,,2342.0,562,,2913.0,562,562,562.0,562,562
573,581.0,,2353.0,573,,2924.0,573,573,573.0,573,573
584,592.0,,2365.0,584,,2935.0,584,584,584.0,584,584
595,603.0,,2376.0,595,,2946.0,595,595,595.0,595,595
606,614.0,,2388.0,606,,2957.0,606,606,606.0,606,606
617,625.0,,2399.0,617,,2968.0,617,617,617.0,617,617
628,636.0,,2447.0,628,,2979.0,628,628,628.0,628,628
639,647.0,,,639,,2990.0,639,639,639.0,639,639
650,658.0,,,650,,3001.0,650,650,650.0,650,650
661,669.0,,,661,,3012.0,661,661,661.0,661,661
672,680.0,,,672,,3023.0,672,672,672.0,672,672
683,691.0,,,683,,3034.0,683,683,683.0,683,683
694,702.0,,,694,,3045.0,694,694,694.0,694,694
705,713.0,,,705,,3056.0,705,705,705.0,705,705
716,724.0,,,716,,3067.0,716,716,716.0,716,716
727,735.0,,,727,,3078.0,727,727,727.0,727,727
738,746.0,,,738,,3089.0,738,738,738.0,738,738
749,757.0,,,749,,3100.0,749,749,749.0,749,749
760,768.0,,,760,,3111.0,760,760,760.0,760,760
771,779.0,,,771,,3122.0,771,771,771.0,771,771
782,790.0,,,782,,3133.0,782,782,782.0,782,782
793,801.0,,,793,,3144.0,793,793,793.0,793,793
804,812.0,,,804,,3155.0,804,804,804.0,804,804
815,823.0,,,815,,3166.0,815,815,815.0,815,815
826,834.0,,,826,,3177.0,826,826,826.0,826,826
837,845.0,,,837,,3188.0,837,837,837.0,837,837
848,856.0,,,848,,3199.0,848,848,848.0,848,848
859,867.0,,,859,,3210.0,859,859,859.0,859,859
870,878.0,,,870,,3221.0,870,870,870.0,870,870
881,889.0,,,881,,3232.0,881,881,881.0,881,881
892,900.0,,,892,,3243.0,892,892,892.0,892,892
903,911.0,,,903,,3254.0,903,903,903.0,903,903
914,922.0,,,914,,3265.0,914,914,914.0,914,914
925,933.0,,,925,,3276.0,925,925,925.0,925,925
936,944.0,,,936,,3287.0,936,936,936.0,936,936
947,955.0,,,947,,3298.0,947,947,947.0,947,947
958,966.0,,,958,,3309.0,958,958,958.0,958,958
969,977.0,,,969,,3320.0,969,969,969.0,969,969
980,988.0,,,980,,3331.0,980,980,980.0,980,980
991,999.0,,,991,,3342.0,991,991,991.0,991,991
1002,1011.0,,,1002,,3353.0,1002,1002,1002.0,1002,1002
1013,1022.0,,,1013,,3364.0,1013,1013,1013.0,1013,1013
1024,1033.0,,,1024,,3375.0,1024,1024,1024.0,1024,1024
1035,1044.0,,,1035,,3386.0,1035,1035,1035.0,1035,1035
1046,1055.0,,,1046,,3397.0,1046,1046,1046.0,1046,1046
1057,1066.0,,,1057,,3408.0,1057,1057,1057.0,1057,1057
1068,1078.0,,,1068,,3419.0,1068,1068,1068.0,1068,1068
1079,1089.0,,,1079,,3430.0,1079,1079,1080.0,1079,1079
1090,1100.0,,,1090,,3441.0,1090,1090,1657.0,1090,1090
1101,1111.0,,,1101,,3452.0,1101,1101,1668.0,1101,1101
1112,1122.0,,,1112,,3463.0,1112,1112,1679.0,1112,1112
1123,1133.0,,,1123,,3474.0,1123,1123,1690.0,1123,1123
1134,1146.0,,,1134,,3485.0,1134,1134,1701.0,1134,1134
1145,1157.0,,,1145,,3496.0,1145,1145,1712.0,1145,1145
1156,1168.0,,,1156,,3507.0,1156,1156,1723.0,1156,1156
1167,1180.0,,,1167,,3518.0,1167,1167,1734.0,1167,1167
1178,1191.0,,,1178,,3529.0,1178,1178,1745.0,1178,1178
1189,1202.0,,,1189,,3540.0,1189,1189,1756.0,1189,1189
1200,1213.0,,,1200,,3551.0,1200,1200,1767.0,1200,1200
1211,1224.0,,,1211,,3562.0,1211,1211,1778.0,1211,1211
1222,1235.0,,,1222,,3573.0,1222,1222,1789.0,1222,1222
1233,1246.0,,,1233,,,1233,1233,1800.0,1233,1233
1244,1257.0,,,1244,,,1244,1244,1811.0,1244,1244
1255,1269.0,,,1255,,,1255,1255,1822.0,1255,1255
1266,1280.0,,,1266,,,1266,1266,1833.0,1266,1266
1277,1291.0,,,1277,,,1277,1277,1844.0,1277,1277
1288,1302.0,,,1288,,,1288,1288,1855.0,1288,1288
1299,1313.0,,,1299,,,1299,1299,1866.0,1299,1299
1310,1324.0,,,1310,,,1310,1310,1877.0,1310,1310
