G27,G08,G28,G07,G26,G02,G21,G10,G18,G31,G16,G23
,535,,815.0,,38.0,2072.0,,,1062.0,3278.0,3467.0
,546,,827.0,,191.0,,,,1073.0,3289.0,3478.0
,562,,864.0,,205.0,,,,1085.0,3300.0,3489.0
,577,,875.0,,256.0,,,,2116.0,3311.0,3500.0
,995,,921.0,,267.0,,,,2127.0,3322.0,3511.0
,1007,,2137.0,,280.0,,,,2143.0,3333.0,3522.0
,1062,,2149.0,,294.0,,,,2345.0,3344.0,3533.0
,1074,,2349.0,,341.0,,,,2359.0,,
,1121,,2361.0,,355.0,,,,2374.0,,
,1139,,2373.0,,,,,,,,
,1164,,2384.0,,,,,,,,
,1176,,2396.0,,,,,,,,
,1251,,2441.0,,,,,,,,
,1263,,,,,,,,,,
,1379,,,,,,,,,,
,1393,,,,,,,,,,
