G07,G16,G27,G28,G02,G21,G26,G31,G08,G10,G23,G18
685.0,12.0,12,,117.0,2112.0,12.0,11.0,11,12.0,12.0,12.0
707.0,32.0,32,,145.0,2156.0,32.0,31.0,31,32.0,32.0,32.0
728.0,52.0,52,,167.0,2287.0,52.0,52.0,53,53.0,52.0,52.0
749.0,73.0,73,,189.0,2354.0,73.0,73.0,74,79.0,72.0,73.0
787.0,95.0,95,,212.0,2371.0,95.0,95.0,95,100.0,95.0,95.0
809.0,126.0,122,,234.0,2392.0,126.0,121.0,129,121.0,126.0,121.0
832.0,152.0,152,,256.0,2413.0,152.0,143.0,154,152.0,152.0,151.0
854.0,173.0,173,,280.0,2438.0,172.0,164.0,174,173.0,173.0,171.0
879.0,198.0,198,,334.0,2459.0,194.0,185.0,196,198.0,198.0,192.0
2018.0,220.0,220,,348.0,2484.0,219.0,205.0,230,220.0,220.0,216.0
2039.0,252.0,252,,656.0,2506.0,241.0,225.0,251,252.0,252.0,238.0
2062.0,273.0,273,,675.0,2533.0,262.0,248.0,274,273.0,273.0,259.0
2082.0,295.0,295,,696.0,2553.0,288.0,269.0,294,294.0,294.0,282.0
2102.0,317.0,317,,716.0,2577.0,311.0,291.0,314,314.0,314.0,304.0
2124.0,337.0,337,,738.0,2598.0,334.0,311.0,334,334.0,334.0,327.0
2144.0,360.0,360,,759.0,2623.0,355.0,334.0,355,355.0,355.0,347.0
2166.0,385.0,385,,780.0,2644.0,378.0,355.0,378,378.0,378.0,368.0
2187.0,406.0,405,,803.0,2664.0,400.0,378.0,400,400.0,400.0,404.0
2208.0,433.0,425,,827.0,2684.0,421.0,400.0,422,421.0,421.0,425.0
2230.0,455.0,448,,848.0,2704.0,445.0,421.0,445,445.0,445.0,449.0
2251.0,476.0,468,,869.0,2725.0,467.0,445.0,469,467.0,467.0,470.0
2272.0,497.0,493,,,2745.0,494.0,467.0,493,494.0,495.0,491.0
2297.0,519.0,513,,,2766.0,521.0,494.0,513,522.0,517.0,512.0
2322.0,541.0,533,,,2790.0,542.0,521.0,533,543.0,538.0,532.0
2343.0,571.0,554,,,2814.0,563.0,542.0,554,564.0,560.0,554.0
2364.0,592.0,575,,,2843.0,583.0,563.0,585,584.0,587.0,575.0
2389.0,613.0,604,,,2868.0,603.0,583.0,606,607.0,612.0,603.0
2436.0,635.0,625,,,2888.0,624.0,604.0,633,630.0,636.0,624.0
2554.0,655.0,645,,,2909.0,646.0,625.0,653,650.0,658.0,646.0
,675.0,667,,,2929.0,673.0,645.0,674,674.0,681.0,674.0
,696.0,689,,,2962.0,694.0,667.0,695,695.0,704.0,695.0
,716.0,710,,,2983.0,716.0,689.0,716,716.0,726.0,715.0
,739.0,731,,,3008.0,738.0,710.0,739,738.0,747.0,736.0
,759.0,753,,,3029.0,758.0,732.0,759,758.0,780.0,757.0
,780.0,773,,,3049.0,778.0,753.0,780,778.0,804.0,778.0
,803.0,802,,,3071.0,799.0,773.0,804,803.0,828.0,799.0
,826.0,824,,,3093.0,830.0,797.0,829,826.0,848.0,830.0
,847.0,844,,,3115.0,854.0,817.0,851,847.0,870.0,854.0
,870.0,867,,,3137.0,876.0,839.0,871,870.0,893.0,876.0
,894.0,888,,,3157.0,897.0,859.0,894,893.0,913.0,897.0
,925.0,908,,,3182.0,919.0,879.0,921,913.0,934.0,918.0
,953.0,930,,,3202.0,945.0,901.0,943,934.0,958.0,953.0
,974.0,950,,,3222.0,974.0,923.0,963,958.0,981.0,974.0
,995.0,977,,,3242.0,995.0,953.0,989,980.0,1006.0,995.0
,1016.0,997,,,3263.0,1016.0,974.0,1012,1009.0,1028.0,1016.0
,1043.0,1017,,,3284.0,1043.0,995.0,1033,1040.0,1055.0,1043.0
,1063.0,1044,,,3305.0,1063.0,1016.0,1054,1061.0,1084.0,1063.0
,1084.0,1064,,,3325.0,1084.0,1043.0,1076,1084.0,1106.0,1084.0
,1106.0,1084,,,3354.0,1106.0,1063.0,1099,1106.0,1128.0,1106.0
,1128.0,1105,,,3374.0,1128.0,1084.0,1119,1128.0,1154.0,1128.0
,1155.0,1128,,,3395.0,1155.0,1677.0,1141,1155.0,1175.0,1155.0
,1176.0,1155,,,3418.0,1176.0,1707.0,1164,1176.0,1197.0,1175.0
