G16,G23,G21,G10,G07,G27,G28,G08,G18,G26,G02,G31
31.0,31.0,2072.0,31.0,822.0,31.0,113.0,31.0,31.0,31,38.0,1082.0
34.0,34.0,2363.0,34.0,826.0,34.0,,34.0,34.0,34,172.0,2129.0
35.0,35.0,2365.0,35.0,827.0,35.0,,35.0,35.0,35,184.0,2130.0
36.0,36.0,2385.0,36.0,829.0,36.0,,36.0,36.0,36,185.0,2131.0
37.0,37.0,2397.0,37.0,830.0,37.0,,37.0,37.0,37,186.0,2132.0
38.0,38.0,2400.0,38.0,873.0,38.0,,38.0,38.0,38,188.0,2138.0
168.0,168.0,2401.0,168.0,915.0,167.0,,171.0,167.0,167,195.0,2139.0
171.0,171.0,2403.0,171.0,2394.0,168.0,,172.0,168.0,168,260.0,2140.0
172.0,172.0,2404.0,172.0,2439.0,171.0,,173.0,171.0,171,263.0,2142.0
173.0,173.0,2405.0,173.0,,172.0,,176.0,172.0,172,266.0,
176.0,176.0,2409.0,176.0,,173.0,,177.0,173.0,173,268.0,
177.0,177.0,2433.0,177.0,,176.0,,181.0,176.0,176,270.0,
181.0,181.0,2434.0,181.0,,177.0,,183.0,177.0,177,272.0,
183.0,183.0,2444.0,183.0,,181.0,,184.0,181.0,181,273.0,
184.0,184.0,2446.0,184.0,,183.0,,185.0,183.0,183,274.0,
185.0,185.0,2447.0,185.0,,184.0,,187.0,184.0,184,278.0,
187.0,187.0,2449.0,187.0,,185.0,,188.0,185.0,185,280.0,
188.0,188.0,2450.0,188.0,,187.0,,191.0,187.0,187,281.0,
191.0,191.0,2451.0,191.0,,188.0,,192.0,188.0,188,285.0,
192.0,192.0,2556.0,192.0,,191.0,,193.0,191.0,191,290.0,
193.0,193.0,2563.0,193.0,,192.0,,195.0,192.0,192,358.0,
195.0,195.0,2565.0,195.0,,193.0,,196.0,193.0,193,,
196.0,196.0,2566.0,196.0,,195.0,,198.0,195.0,195,,
198.0,198.0,2567.0,198.0,,196.0,,201.0,196.0,196,,
201.0,201.0,2568.0,201.0,,198.0,,203.0,198.0,198,,
203.0,203.0,2573.0,203.0,,201.0,,204.0,201.0,201,,
204.0,204.0,2574.0,204.0,,203.0,,205.0,203.0,203,,
205.0,205.0,2575.0,205.0,,204.0,,206.0,204.0,204,,
206.0,206.0,2576.0,206.0,,205.0,,207.0,205.0,205,,
207.0,207.0,2577.0,207.0,,206.0,,208.0,206.0,206,,
208.0,208.0,2578.0,208.0,,207.0,,233.0,207.0,207,,
231.0,231.0,2579.0,231.0,,208.0,,273.0,208.0,208,,
233.0,233.0,2580.0,233.0,,231.0,,275.0,231.0,231,,
254.0,254.0,2853.0,258.0,,233.0,,276.0,233.0,233,,
258.0,258.0,2855.0,267.0,,258.0,,285.0,254.0,254,,
267.0,267.0,3575.0,273.0,,267.0,,287.0,258.0,258,,
273.0,273.0,,275.0,,273.0,,288.0,267.0,267,,
275.0,275.0,,276.0,,275.0,,291.0,273.0,273,,
276.0,276.0,,285.0,,276.0,,293.0,275.0,275,,
285.0,285.0,,287.0,,285.0,,294.0,276.0,276,,
287.0,287.0,,288.0,,287.0,,295.0,285.0,285,,
288.0,288.0,,291.0,,288.0,,297.0,287.0,287,,
291.0,291.0,,293.0,,291.0,,298.0,288.0,288,,
293.0,293.0,,294.0,,293.0,,311.0,291.0,291,,
294.0,294.0,,295.0,,294.0,,312.0,293.0,293,,
295.0,295.0,,297.0,,295.0,,313.0,294.0,294,,
297.0,297.0,,298.0,,297.0,,318.0,295.0,295,,
298.0,298.0,,311.0,,298.0,,341.0,297.0,297,,
304.0,308.0,,312.0,,308.0,,343.0,298.0,298,,
308.0,311.0,,313.0,,311.0,,344.0,308.0,308,,
311.0,312.0,,318.0,,312.0,,346.0,311.0,311,,
312.0,313.0,,341.0,,313.0,,358.0,312.0,312,,
313.0,318.0,,343.0,,318.0,,361.0,313.0,313,,
318.0,341.0,,344.0,,341.0,,368.0,318.0,318,,
341.0,343.0,,346.0,,343.0,,2008.0,341.0,341,,
343.0,344.0,,358.0,,344.0,,2009.0,343.0,343,,
344.0,346.0,,361.0,,346.0,,2010.0,344.0,344,,
346.0,358.0,,362.0,,358.0,,2011.0,346.0,346,,
358.0,361.0,,368.0,,361.0,,2013.0,358.0,358,,
361.0,368.0,,2008.0,,362.0,,2014.0,361.0,361,,
362.0,2008.0,,2009.0,,368.0,,2015.0,368.0,362,,
368.0,2009.0,,2441.0,,2008.0,,2029.0,2008.0,368,,
2008.0,2441.0,,2443.0,,2009.0,,2031.0,2009.0,2008,,
2009.0,2443.0,,2444.0,,2441.0,,2565.0,2441.0,2009,,
2441.0,2444.0,,2446.0,,2443.0,,2571.0,2443.0,2176,,
2443.0,2446.0,,2447.0,,2444.0,,2574.0,2444.0,2441,,
2444.0,2447.0,,2565.0,,2446.0,,2578.0,2446.0,2443,,
2446.0,2565.0,,2574.0,,2447.0,,,2447.0,2444,,
2447.0,2574.0,,2578.0,,2565.0,,,2565.0,2446,,
2565.0,2578.0,,,,2574.0,,,2574.0,2447,,
2574.0,,,,,2578.0,,,2578.0,2565,,
2578.0,,,,,,,,,2574,,
,,,,,,,,,2578,,
