G23,G16,G26,G21,G31,G27,G08,G18,G10,G07
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
40,40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
41,41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
60,60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
61,61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
80,80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
81,81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
101,101,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
120,120,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
121,121,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0
140,140,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0
141,141,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0
160,160,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
161,161,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0
180,180,180.0,180.0,180.0,180.0,181.0,180.0,180.0,180.0
181,181,181.0,181.0,181.0,181.0,200.0,181.0,181.0,181.0
200,200,200.0,200.0,200.0,200.0,201.0,200.0,200.0,200.0
201,201,201.0,201.0,201.0,201.0,220.0,201.0,201.0,201.0
220,220,220.0,220.0,220.0,220.0,221.0,220.0,220.0,220.0
221,221,221.0,221.0,221.0,221.0,240.0,221.0,221.0,221.0
240,240,240.0,240.0,240.0,240.0,241.0,240.0,240.0,240.0
241,241,241.0,241.0,241.0,241.0,260.0,241.0,241.0,241.0
260,260,260.0,260.0,261.0,260.0,280.0,260.0,260.0,260.0
261,261,261.0,280.0,281.0,280.0,300.0,280.0,280.0,261.0
280,280,280.0,300.0,314.0,300.0,301.0,300.0,300.0,280.0
281,281,300.0,301.0,315.0,301.0,320.0,301.0,301.0,300.0
300,300,301.0,320.0,320.0,320.0,321.0,320.0,320.0,301.0
301,301,320.0,321.0,325.0,321.0,340.0,321.0,321.0,320.0
320,320,321.0,340.0,344.0,340.0,341.0,340.0,340.0,321.0
321,321,340.0,341.0,345.0,341.0,360.0,341.0,341.0,340.0
340,340,341.0,360.0,364.0,360.0,361.0,360.0,360.0,341.0
341,341,360.0,361.0,365.0,361.0,380.0,361.0,361.0,360.0
360,360,361.0,380.0,384.0,380.0,381.0,380.0,380.0,361.0
361,361,380.0,381.0,,381.0,399.0,381.0,381.0,380.0
380,380,381.0,400.0,,400.0,400.0,400.0,400.0,
381,381,400.0,401.0,,401.0,401.0,401.0,401.0,
400,400,401.0,421.0,,420.0,403.0,421.0,420.0,
401,401,420.0,440.0,,421.0,421.0,440.0,421.0,
420,420,421.0,441.0,,440.0,440.0,441.0,440.0,
421,421,440.0,460.0,,441.0,441.0,460.0,441.0,
440,440,441.0,461.0,,460.0,460.0,461.0,460.0,
441,441,460.0,480.0,,461.0,461.0,480.0,461.0,
460,460,461.0,481.0,,480.0,480.0,481.0,480.0,
461,461,480.0,500.0,,481.0,481.0,500.0,481.0,
480,480,481.0,501.0,,500.0,500.0,501.0,500.0,
481,481,500.0,520.0,,501.0,501.0,520.0,501.0,
500,500,501.0,521.0,,520.0,520.0,521.0,520.0,
501,501,520.0,540.0,,521.0,521.0,540.0,521.0,
520,520,521.0,541.0,,540.0,540.0,541.0,540.0,
521,521,540.0,560.0,,541.0,541.0,560.0,541.0,
540,540,541.0,561.0,,560.0,560.0,561.0,560.0,
541,541,560.0,580.0,,561.0,561.0,580.0,561.0,
560,560,561.0,581.0,,580.0,580.0,581.0,580.0,
561,561,580.0,600.0,,581.0,581.0,600.0,581.0,
580,580,581.0,601.0,,600.0,600.0,601.0,600.0,
581,581,600.0,620.0,,601.0,601.0,620.0,601.0,
600,600,601.0,621.0,,620.0,620.0,621.0,620.0,
601,601,620.0,640.0,,621.0,621.0,640.0,621.0,
620,620,621.0,641.0,,640.0,640.0,641.0,640.0,
621,621,640.0,660.0,,641.0,641.0,660.0,641.0,
640,640,641.0,661.0,,660.0,660.0,661.0,660.0,
641,641,660.0,680.0,,661.0,661.0,680.0,661.0,
660,660,661.0,681.0,,680.0,680.0,681.0,680.0,
661,661,680.0,700.0,,681.0,681.0,700.0,681.0,
680,680,681.0,701.0,,700.0,700.0,701.0,700.0,
681,681,700.0,720.0,,701.0,701.0,720.0,701.0,
700,700,701.0,721.0,,720.0,720.0,721.0,720.0,
701,701,720.0,741.0,,721.0,721.0,741.0,721.0,
720,720,721.0,760.0,,741.0,741.0,760.0,740.0,
721,721,740.0,761.0,,760.0,760.0,761.0,741.0,
740,740,741.0,780.0,,761.0,761.0,780.0,760.0,
741,741,760.0,781.0,,780.0,780.0,781.0,761.0,
760,760,761.0,800.0,,781.0,781.0,800.0,780.0,
761,761,780.0,801.0,,800.0,800.0,801.0,781.0,
780,780,781.0,820.0,,801.0,801.0,820.0,800.0,
781,781,800.0,821.0,,820.0,820.0,821.0,801.0,
800,800,801.0,840.0,,821.0,821.0,840.0,820.0,
801,801,820.0,841.0,,840.0,840.0,841.0,821.0,
820,820,821.0,860.0,,841.0,841.0,860.0,840.0,
821,821,840.0,861.0,,860.0,860.0,861.0,841.0,
840,840,841.0,880.0,,861.0,861.0,880.0,860.0,
841,841,860.0,881.0,,880.0,880.0,881.0,861.0,
860,860,861.0,900.0,,881.0,881.0,900.0,880.0,
861,861,880.0,901.0,,900.0,900.0,901.0,881.0,
880,880,881.0,920.0,,901.0,901.0,920.0,900.0,
881,881,900.0,921.0,,920.0,920.0,921.0,901.0,
900,900,901.0,940.0,,921.0,921.0,940.0,920.0,
901,901,920.0,941.0,,940.0,940.0,941.0,921.0,
920,920,921.0,960.0,,941.0,941.0,960.0,940.0,
921,921,940.0,961.0,,960.0,960.0,961.0,941.0,
940,940,941.0,980.0,,961.0,961.0,980.0,960.0,
941,941,960.0,981.0,,980.0,980.0,981.0,961.0,
960,960,961.0,1000.0,,981.0,981.0,1000.0,980.0,
961,961,980.0,1001.0,,1000.0,1000.0,1001.0,981.0,
980,980,981.0,1020.0,,1001.0,1001.0,1020.0,1000.0,
981,981,1000.0,1021.0,,1020.0,1020.0,1021.0,1001.0,
1000,1000,1001.0,1040.0,,1021.0,1021.0,1040.0,1020.0,
1001,1001,1020.0,1041.0,,1040.0,1040.0,1041.0,1021.0,
1020,1020,1021.0,1060.0,,1041.0,1041.0,1060.0,1040.0,
1021,1021,1040.0,1061.0,,1060.0,1060.0,1061.0,1041.0,
1040,1040,1041.0,1080.0,,1061.0,1061.0,1080.0,1060.0,
1041,1041,1060.0,1081.0,,1080.0,1080.0,1081.0,1061.0,
1060,1060,1061.0,1100.0,,1081.0,1081.0,1100.0,1080.0,
1061,1061,1080.0,1101.0,,1100.0,1100.0,1101.0,1081.0,
