G16,G23,G21,G10,G07,G27,G28,G08,G18,G26,G02,G31
35.0,35.0,2072.0,35.0,827.0,35.0,113.0,35,35.0,35.0,38.0,1082.0
37.0,37.0,2573.0,37.0,829.0,37.0,,171,37.0,37.0,290.0,2129.0
171.0,171.0,2579.0,171.0,873.0,171.0,,184,171.0,171.0,358.0,2131.0
181.0,181.0,,181.0,915.0,181.0,,187,181.0,181.0,,2132.0
184.0,184.0,,184.0,2394.0,184.0,,188,184.0,184.0,,2138.0
187.0,187.0,,187.0,2439.0,187.0,,204,187.0,187.0,,2139.0
188.0,188.0,,188.0,,188.0,,207,188.0,188.0,,
204.0,204.0,,204.0,,204.0,,2008,204.0,204.0,,
207.0,207.0,,207.0,,207.0,,2010,207.0,207.0,,
,,,,,,,2011,,,,
