G16,G23,G21,G10,G07,G27,G28,G08,G18,G26,G02,G31
34.0,34.0,2072.0,34.0,826.0,34.0,113.0,34,34.0,34.0,38.0,1082.0
35.0,35.0,2403.0,35.0,827.0,35.0,,35,35.0,35.0,172.0,2129.0
37.0,37.0,2450.0,37.0,829.0,37.0,,37,37.0,37.0,266.0,2130.0
38.0,38.0,2565.0,38.0,830.0,38.0,,38,38.0,38.0,268.0,2131.0
171.0,171.0,2573.0,171.0,873.0,171.0,,171,171.0,171.0,270.0,2132.0
172.0,172.0,2575.0,172.0,915.0,172.0,,172,172.0,172.0,273.0,2138.0
173.0,173.0,2576.0,173.0,2394.0,173.0,,173,173.0,173.0,278.0,2139.0
181.0,181.0,2579.0,181.0,2439.0,181.0,,181,181.0,181.0,290.0,2140.0
183.0,183.0,,183.0,,183.0,,183,183.0,183.0,358.0,2142.0
184.0,184.0,,184.0,,184.0,,184,184.0,184.0,,
185.0,185.0,,185.0,,185.0,,185,185.0,185.0,,
187.0,187.0,,187.0,,187.0,,187,187.0,187.0,,
188.0,188.0,,188.0,,188.0,,188,188.0,188.0,,
191.0,191.0,,191.0,,191.0,,191,191.0,191.0,,
192.0,192.0,,192.0,,192.0,,192,192.0,192.0,,
193.0,193.0,,193.0,,193.0,,193,193.0,193.0,,
195.0,195.0,,195.0,,195.0,,195,195.0,195.0,,
201.0,201.0,,201.0,,201.0,,201,201.0,201.0,,
203.0,203.0,,203.0,,203.0,,203,203.0,203.0,,
204.0,204.0,,204.0,,204.0,,204,204.0,204.0,,
205.0,205.0,,205.0,,207.0,,207,205.0,205.0,,
207.0,207.0,,207.0,,208.0,,208,207.0,207.0,,
208.0,208.0,,208.0,,233.0,,233,208.0,208.0,,
233.0,233.0,,233.0,,273.0,,273,233.0,233.0,,
273.0,273.0,,273.0,,291.0,,291,273.0,273.0,,
291.0,291.0,,291.0,,294.0,,294,291.0,291.0,,
294.0,294.0,,294.0,,295.0,,295,294.0,294.0,,
295.0,295.0,,295.0,,297.0,,297,295.0,295.0,,
297.0,297.0,,297.0,,298.0,,298,297.0,297.0,,
298.0,298.0,,298.0,,311.0,,311,298.0,298.0,,
311.0,311.0,,311.0,,341.0,,341,311.0,311.0,,
341.0,341.0,,341.0,,343.0,,343,341.0,341.0,,
343.0,343.0,,343.0,,344.0,,346,343.0,343.0,,
344.0,344.0,,344.0,,346.0,,2008,344.0,344.0,,
346.0,346.0,,346.0,,,,2010,346.0,346.0,,
,,,,,,,2011,,2009.0,,
,,,,,,,2013,,,,
,,,,,,,2014,,,,
,,,,,,,2015,,,,
