G23,G16,G26,G21,G31,G27,G08,G18,G10,G07
1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
11.0,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
20.0,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
21.0,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
30.0,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
31.0,31,31.0,31.0,40.0,31.0,31.0,31.0,31.0,31.0
40.0,40,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
41.0,41,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
50.0,50,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
51.0,51,60.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0
60.0,60,61.0,61.0,61.0,61.0,70.0,61.0,61.0,61.0
61.0,61,70.0,70.0,70.0,70.0,71.0,70.0,70.0,70.0
70.0,70,71.0,71.0,71.0,71.0,80.0,71.0,71.0,71.0
71.0,71,80.0,80.0,80.0,80.0,81.0,80.0,80.0,80.0
80.0,80,81.0,81.0,81.0,81.0,100.0,81.0,81.0,81.0
81.0,81,90.0,90.0,90.0,90.0,101.0,90.0,90.0,90.0
90.0,90,91.0,91.0,91.0,91.0,111.0,91.0,91.0,91.0
91.0,91,100.0,100.0,100.0,100.0,121.0,100.0,100.0,100.0
100.0,100,101.0,101.0,110.0,101.0,130.0,101.0,101.0,101.0
101.0,101,110.0,110.0,111.0,110.0,131.0,110.0,110.0,110.0
110.0,110,111.0,111.0,120.0,111.0,140.0,111.0,111.0,111.0
111.0,111,120.0,120.0,121.0,120.0,141.0,120.0,120.0,120.0
120.0,120,121.0,121.0,130.0,121.0,150.0,121.0,121.0,121.0
121.0,121,130.0,130.0,131.0,130.0,160.0,130.0,130.0,130.0
130.0,130,131.0,131.0,141.0,131.0,161.0,131.0,131.0,131.0
131.0,131,140.0,140.0,150.0,140.0,190.0,140.0,140.0,140.0
140.0,140,141.0,141.0,151.0,141.0,191.0,141.0,141.0,141.0
141.0,141,150.0,150.0,160.0,150.0,200.0,150.0,150.0,150.0
150.0,150,151.0,151.0,170.0,151.0,210.0,151.0,151.0,151.0
151.0,151,160.0,160.0,171.0,160.0,220.0,160.0,160.0,160.0
160.0,160,161.0,161.0,180.0,161.0,230.0,161.0,161.0,161.0
161.0,161,171.0,180.0,181.0,180.0,231.0,180.0,180.0,171.0
170.0,170,180.0,181.0,191.0,181.0,240.0,181.0,181.0,180.0
171.0,171,181.0,190.0,200.0,190.0,241.0,190.0,190.0,181.0
180.0,180,190.0,191.0,201.0,191.0,250.0,191.0,191.0,190.0
181.0,181,191.0,200.0,210.0,200.0,251.0,200.0,200.0,191.0
190.0,190,200.0,210.0,211.0,201.0,261.0,201.0,201.0,200.0
191.0,191,201.0,220.0,221.0,210.0,271.0,210.0,210.0,201.0
200.0,200,210.0,230.0,231.0,211.0,280.0,211.0,211.0,210.0
201.0,201,211.0,231.0,240.0,220.0,290.0,220.0,220.0,211.0
210.0,210,220.0,240.0,241.0,230.0,291.0,230.0,221.0,220.0
211.0,211,221.0,241.0,250.0,231.0,300.0,231.0,230.0,221.0
220.0,220,230.0,250.0,260.0,240.0,301.0,240.0,231.0,230.0
221.0,221,231.0,251.0,261.0,241.0,310.0,241.0,240.0,231.0
230.0,230,240.0,261.0,271.0,250.0,311.0,250.0,241.0,240.0
231.0,231,241.0,271.0,280.0,251.0,321.0,251.0,250.0,241.0
240.0,240,250.0,280.0,290.0,261.0,330.0,261.0,251.0,250.0
241.0,241,251.0,288.0,291.0,263.0,331.0,271.0,270.0,251.0
250.0,250,270.0,291.0,301.0,271.0,340.0,280.0,271.0,270.0
251.0,251,271.0,300.0,310.0,280.0,341.0,281.0,280.0,271.0
270.0,270,280.0,301.0,315.0,281.0,350.0,288.0,281.0,280.0
271.0,271,281.0,310.0,320.0,291.0,351.0,291.0,291.0,281.0
280.0,280,291.0,311.0,325.0,300.0,360.0,300.0,300.0,285.0
281.0,281,300.0,321.0,334.0,301.0,370.0,301.0,301.0,291.0
291.0,285,301.0,330.0,335.0,310.0,371.0,310.0,310.0,300.0
300.0,291,310.0,331.0,344.0,311.0,380.0,311.0,311.0,301.0
301.0,300,311.0,340.0,345.0,321.0,381.0,321.0,321.0,310.0
310.0,301,321.0,341.0,354.0,330.0,391.0,330.0,330.0,311.0
311.0,310,330.0,350.0,355.0,331.0,395.0,331.0,331.0,321.0
321.0,311,331.0,351.0,364.0,340.0,401.0,340.0,340.0,330.0
330.0,321,340.0,360.0,365.0,341.0,420.0,341.0,341.0,331.0
331.0,330,341.0,361.0,374.0,350.0,421.0,350.0,350.0,340.0
340.0,331,350.0,370.0,384.0,351.0,431.0,351.0,351.0,341.0
341.0,340,351.0,371.0,385.0,360.0,440.0,360.0,360.0,350.0
350.0,341,360.0,380.0,,361.0,450.0,361.0,361.0,351.0
351.0,350,361.0,381.0,,370.0,451.0,370.0,370.0,360.0
360.0,351,370.0,390.0,,371.0,460.0,371.0,371.0,361.0
361.0,360,371.0,391.0,,380.0,470.0,380.0,380.0,370.0
370.0,361,380.0,401.0,,381.0,471.0,381.0,381.0,371.0
371.0,370,381.0,411.0,,390.0,480.0,390.0,390.0,380.0
380.0,371,390.0,420.0,,391.0,481.0,391.0,391.0,381.0
381.0,380,391.0,421.0,,401.0,490.0,401.0,401.0,390.0
390.0,381,401.0,430.0,,411.0,491.0,411.0,411.0,
391.0,390,411.0,431.0,,420.0,500.0,420.0,420.0,
401.0,391,420.0,440.0,,421.0,501.0,421.0,421.0,
411.0,401,421.0,441.0,,430.0,511.0,430.0,430.0,
420.0,411,430.0,450.0,,431.0,520.0,431.0,431.0,
421.0,420,431.0,451.0,,440.0,521.0,440.0,440.0,
430.0,421,440.0,460.0,,441.0,530.0,441.0,441.0,
431.0,430,441.0,461.0,,450.0,540.0,450.0,450.0,
440.0,431,450.0,470.0,,451.0,541.0,451.0,451.0,
441.0,440,451.0,471.0,,460.0,551.0,460.0,460.0,
450.0,441,460.0,480.0,,461.0,560.0,461.0,461.0,
451.0,450,461.0,481.0,,470.0,561.0,470.0,470.0,
460.0,451,470.0,490.0,,471.0,570.0,471.0,471.0,
461.0,460,471.0,491.0,,480.0,571.0,480.0,480.0,
470.0,461,480.0,500.0,,481.0,581.0,481.0,481.0,
471.0,470,481.0,501.0,,490.0,590.0,490.0,490.0,
480.0,471,490.0,511.0,,491.0,591.0,491.0,491.0,
481.0,480,491.0,520.0,,500.0,600.0,500.0,500.0,
490.0,481,500.0,521.0,,501.0,601.0,501.0,501.0,
491.0,490,501.0,530.0,,510.0,611.0,511.0,510.0,
500.0,491,510.0,540.0,,511.0,621.0,520.0,511.0,
501.0,500,511.0,541.0,,520.0,630.0,521.0,520.0,
510.0,501,520.0,550.0,,521.0,631.0,530.0,521.0,
511.0,510,521.0,551.0,,530.0,640.0,540.0,530.0,
520.0,511,530.0,560.0,,540.0,641.0,541.0,531.0,
521.0,520,531.0,561.0,,541.0,650.0,550.0,540.0,
530.0,521,540.0,570.0,,550.0,651.0,551.0,541.0,
531.0,530,541.0,571.0,,551.0,660.0,560.0,550.0,
540.0,531,550.0,580.0,,560.0,661.0,561.0,551.0,
541.0,540,551.0,581.0,,561.0,670.0,570.0,560.0,
550.0,541,560.0,590.0,,570.0,671.0,571.0,561.0,
551.0,550,561.0,591.0,,571.0,690.0,580.0,570.0,
560.0,551,570.0,600.0,,580.0,691.0,581.0,571.0,
561.0,560,571.0,601.0,,581.0,700.0,590.0,580.0,
570.0,561,580.0,610.0,,590.0,701.0,591.0,581.0,
571.0,570,581.0,611.0,,591.0,710.0,600.0,590.0,
580.0,571,590.0,620.0,,600.0,711.0,601.0,591.0,
581.0,580,591.0,621.0,,601.0,721.0,610.0,600.0,
590.0,581,600.0,630.0,,610.0,730.0,611.0,601.0,
591.0,590,601.0,631.0,,611.0,740.0,620.0,610.0,
600.0,591,610.0,640.0,,620.0,741.0,621.0,611.0,
601.0,600,611.0,641.0,,621.0,750.0,630.0,620.0,
610.0,601,620.0,650.0,,630.0,751.0,631.0,621.0,
611.0,610,621.0,651.0,,631.0,760.0,640.0,630.0,
620.0,611,630.0,660.0,,640.0,770.0,641.0,631.0,
621.0,620,631.0,661.0,,641.0,771.0,650.0,640.0,
630.0,621,640.0,670.0,,650.0,780.0,651.0,641.0,
631.0,630,641.0,671.0,,651.0,790.0,660.0,650.0,
640.0,631,650.0,680.0,,660.0,791.0,661.0,651.0,
641.0,640,651.0,681.0,,661.0,800.0,670.0,660.0,
650.0,641,660.0,690.0,,670.0,810.0,671.0,661.0,
651.0,650,661.0,691.0,,671.0,811.0,680.0,670.0,
660.0,651,670.0,700.0,,680.0,820.0,681.0,671.0,
661.0,660,671.0,701.0,,681.0,821.0,690.0,680.0,
670.0,661,680.0,710.0,,690.0,830.0,691.0,681.0,
671.0,670,681.0,711.0,,691.0,831.0,700.0,690.0,
680.0,671,690.0,720.0,,700.0,840.0,701.0,691.0,
681.0,680,691.0,721.0,,701.0,841.0,710.0,700.0,
690.0,681,700.0,730.0,,710.0,850.0,711.0,701.0,
691.0,690,701.0,738.0,,711.0,860.0,720.0,710.0,
700.0,691,710.0,740.0,,720.0,861.0,721.0,711.0,
701.0,700,711.0,741.0,,721.0,870.0,730.0,720.0,
710.0,701,720.0,750.0,,730.0,871.0,738.0,721.0,
711.0,710,721.0,751.0,,731.0,880.0,740.0,730.0,
720.0,711,730.0,760.0,,735.0,881.0,741.0,731.0,
721.0,720,731.0,761.0,,741.0,891.0,750.0,741.0,
730.0,721,741.0,770.0,,750.0,900.0,751.0,750.0,
731.0,730,750.0,771.0,,751.0,901.0,760.0,751.0,
741.0,731,751.0,780.0,,760.0,910.0,761.0,760.0,
750.0,741,760.0,781.0,,761.0,911.0,770.0,761.0,
751.0,750,761.0,790.0,,770.0,921.0,771.0,770.0,
760.0,751,770.0,791.0,,771.0,930.0,780.0,771.0,
761.0,760,771.0,800.0,,780.0,931.0,781.0,780.0,
770.0,761,780.0,810.0,,781.0,940.0,790.0,781.0,
771.0,770,781.0,811.0,,790.0,941.0,791.0,790.0,
780.0,771,790.0,820.0,,791.0,950.0,800.0,791.0,
781.0,780,791.0,821.0,,800.0,960.0,810.0,800.0,
790.0,781,800.0,830.0,,801.0,961.0,811.0,801.0,
791.0,790,801.0,831.0,,810.0,970.0,820.0,810.0,
800.0,791,810.0,840.0,,811.0,971.0,821.0,811.0,
801.0,800,811.0,841.0,,820.0,980.0,830.0,820.0,
810.0,801,820.0,850.0,,821.0,981.0,831.0,821.0,
