G23,G16,G22,G29,G21,G28,G01,G27,G14,G12,G03,G11,G30,G18,G19,G17,G10,G13,G24,G20,G06,G09,G26,G32,G02,G31,G08,G05,G04,G25,G07,G15
22380.0,10200.0,,9990.0,30.0,30.0,690.0,51330.0,12510,25590.0,30.0,1320.0,4590.0,17730.0,30.0,30.0,27060.0,9900.0,20250.0,3630.0,30.0,30.0,43500.0,32340.0,11580.0,1440.0,56700.0,8700.0,30.0,29640.0,690.0,14730.0
22650.0,10380.0,,10260.0,300.0,300.0,960.0,51600.0,12780,25860.0,300.0,1590.0,4860.0,18000.0,300.0,300.0,27120.0,10170.0,20520.0,4110.0,300.0,300.0,43560.0,32910.0,11850.0,1710.0,56970.0,8970.0,300.0,29910.0,960.0,15150.0
22680.0,10650.0,,10290.0,330.0,330.0,1320.0,51630.0,12810,25890.0,330.0,1620.0,4890.0,18030.0,330.0,330.0,27270.0,10200.0,20730.0,4380.0,330.0,330.0,43800.0,32940.0,11880.0,1950.0,57000.0,9000.0,330.0,29940.0,990.0,15420.0
22950.0,10920.0,,10560.0,600.0,600.0,1590.0,51900.0,13080,26160.0,600.0,1890.0,5160.0,18300.0,600.0,600.0,27540.0,10470.0,20910.0,4410.0,600.0,600.0,44070.0,33210.0,12150.0,2010.0,57270.0,9270.0,600.0,30210.0,1260.0,15450.0
22980.0,11700.0,,10590.0,630.0,37530.0,1620.0,51930.0,13110,26190.0,630.0,1920.0,5190.0,18330.0,630.0,630.0,27570.0,10500.0,21180.0,4680.0,630.0,630.0,44100.0,33240.0,12180.0,2100.0,57300.0,9300.0,630.0,30240.0,1290.0,15720.0
23250.0,12270.0,,10860.0,900.0,37800.0,1890.0,52200.0,13380,26460.0,900.0,2220.0,5460.0,18600.0,900.0,900.0,27840.0,10770.0,21210.0,4710.0,900.0,900.0,44370.0,33510.0,12450.0,39180.0,57570.0,9570.0,900.0,30510.0,1560.0,15750.0
23280.0,12300.0,,10890.0,930.0,37830.0,1920.0,52230.0,13410,26760.0,930.0,2490.0,5490.0,18630.0,930.0,930.0,27870.0,10800.0,21480.0,4980.0,930.0,930.0,44400.0,33540.0,12480.0,39450.0,57600.0,9600.0,930.0,30540.0,1590.0,16020.0
23550.0,49920.0,,11160.0,1200.0,38100.0,2190.0,52500.0,13680,26790.0,1200.0,2520.0,5760.0,18900.0,1200.0,1200.0,28140.0,11070.0,21510.0,5130.0,1200.0,1200.0,44670.0,33810.0,12750.0,39480.0,57870.0,9870.0,1200.0,30810.0,1860.0,16050.0
23580.0,50190.0,,11190.0,1230.0,38130.0,2220.0,52530.0,13710,27060.0,1230.0,2790.0,5790.0,18930.0,1230.0,1230.0,28170.0,11100.0,21780.0,5400.0,1230.0,1230.0,44850.0,33840.0,12780.0,39750.0,57900.0,9900.0,1230.0,30840.0,1890.0,16320.0
23850.0,50220.0,,11460.0,1650.0,38400.0,2490.0,52800.0,13980,27090.0,1500.0,2820.0,6060.0,19200.0,1500.0,1500.0,28440.0,11370.0,21810.0,5670.0,1500.0,1500.0,45030.0,34110.0,13050.0,39900.0,58170.0,10470.0,1500.0,31110.0,2160.0,16350.0
