G27,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G30,G18,G31,G04,G10,G23,G11
56610.0,35700.0,300.0,30780.0,48750.0,30.0,17160.0,14490.0,30.0,30.0,1380.0,30.0,19710.0,30.0,5400.0,30,25410.0,14940.0,37770.0,40920.0,14730.0,9120.0,30.0,9720.0,23340.0,30.0,30.0,32430.0,27690.0,6690.0
56880.0,35970.0,330.0,31080.0,49050.0,300.0,17430.0,14760.0,300.0,300.0,1650.0,300.0,19980.0,300.0,5670.0,300,25620.0,15210.0,38040.0,41190.0,15030.0,9180.0,300.0,9990.0,23610.0,300.0,300.0,32700.0,27960.0,6960.0
56910.0,36000.0,600.0,31350.0,49320.0,330.0,17460.0,14790.0,330.0,330.0,1680.0,330.0,20010.0,330.0,5820.0,330,25890.0,15390.0,38070.0,41220.0,15300.0,9330.0,330.0,10020.0,23640.0,330.0,330.0,32730.0,27990.0,6990.0
57180.0,36270.0,630.0,31380.0,49350.0,600.0,17730.0,15060.0,600.0,600.0,1980.0,600.0,20280.0,600.0,5880.0,600,25920.0,15570.0,38340.0,41490.0,15330.0,9600.0,600.0,10290.0,23910.0,600.0,600.0,33000.0,28260.0,7260.0
57210.0,36300.0,900.0,31650.0,49620.0,630.0,17760.0,15090.0,630.0,630.0,2250.0,630.0,20310.0,630.0,6030.0,630,26190.0,15840.0,38370.0,41520.0,15600.0,9750.0,630.0,10320.0,23940.0,630.0,630.0,33030.0,28290.0,7290.0
57480.0,36570.0,930.0,31680.0,49800.0,5400.0,18030.0,15390.0,900.0,900.0,2280.0,900.0,20580.0,61830.0,6300.0,900,26220.0,15870.0,38640.0,41820.0,15630.0,10020.0,900.0,10590.0,24210.0,900.0,900.0,33300.0,28560.0,7560.0
57510.0,36600.0,1200.0,31950.0,49860.0,5670.0,18060.0,15420.0,930.0,930.0,2550.0,930.0,20610.0,61950.0,6330.0,930,26490.0,16140.0,38670.0,42090.0,15900.0,10290.0,930.0,10620.0,24240.0,930.0,930.0,33330.0,28590.0,7590.0
57780.0,36870.0,1230.0,31980.0,50010.0,5700.0,18330.0,15690.0,1200.0,1200.0,2580.0,1200.0,20880.0,62220.0,6600.0,16980,26520.0,16170.0,38940.0,42120.0,15930.0,10320.0,1200.0,10920.0,24510.0,1200.0,1200.0,33600.0,28860.0,7860.0
57810.0,36900.0,1500.0,32250.0,50280.0,5970.0,18360.0,15720.0,1230.0,1230.0,2850.0,1230.0,20910.0,62250.0,6630.0,17250,26790.0,16440.0,38970.0,42390.0,16200.0,10590.0,1230.0,11190.0,24540.0,1230.0,1230.0,33630.0,28890.0,7890.0
58080.0,37170.0,1530.0,32280.0,50310.0,6000.0,18630.0,15990.0,1500.0,1500.0,2880.0,1500.0,21180.0,62520.0,6900.0,17310,26820.0,16470.0,39240.0,42420.0,16230.0,10620.0,1500.0,11220.0,24810.0,1500.0,1500.0,33900.0,29160.0,8160.0
