G13,G20,G19,G12,G29,G27,G01,G30,G08,G06,G26,G05,G25,G16,G07,G24,G22,G04,G03,G32,G02,G14,G10,G11,G17,G09,G15,G31,G23,G18,G21
1140.0,3420.0,10110.0,13410.0,24240.0,42570.0,45240,4920.0,35820.0,17190.0,34260.0,6750.0,20010.0,37980.0,780.0,10800.0,21600.0,29190.0,58230.0,18690.0,19950.0,30.0,6780,20940.0,6960.0,67470.0,5430.0,27270.0,6960.0,1980.0,50310.0
1470.0,3750.0,10440.0,13740.0,24570.0,42900.0,45570,5250.0,48390.0,17520.0,34590.0,7080.0,20340.0,38310.0,37890.0,11130.0,21930.0,29520.0,58560.0,19020.0,20280.0,9030.0,7260,21270.0,7290.0,67800.0,5760.0,27600.0,7290.0,2670.0,50640.0
1800.0,27660.0,10770.0,14070.0,24900.0,43230.0,48840,78600.0,48720.0,17850.0,34920.0,30600.0,20670.0,38640.0,38220.0,11460.0,22260.0,29850.0,58890.0,19350.0,20610.0,9360.0,8940,21600.0,7620.0,68130.0,6090.0,27930.0,7620.0,31860.0,50970.0
13200.0,27990.0,17550.0,,,,49170,78930.0,49050.0,22110.0,,30930.0,,48990.0,42030.0,23760.0,29370.0,30180.0,,26910.0,28080.0,52830.0,9390,27390.0,14280.0,,16650.0,37260.0,15090.0,32190.0,
13560.0,28320.0,17880.0,,,,53070,79260.0,,22440.0,,33990.0,,49320.0,42660.0,24090.0,29700.0,63420.0,,27240.0,28410.0,53160.0,10530,27720.0,14610.0,,16980.0,37590.0,39420.0,32520.0,
,30690.0,63390.0,,,,55290,,,69960.0,,34320.0,,73020.0,45510.0,,53220.0,63750.0,,50820.0,74820.0,53490.0,10860,74430.0,61260.0,,40890.0,60720.0,39750.0,42990.0,
,31050.0,63720.0,,,,55770,,,70290.0,,83070.0,,73350.0,74910.0,,53550.0,64080.0,,51150.0,75150.0,59040.0,16020,74760.0,61590.0,,41220.0,61050.0,40080.0,84540.0,
,79590.0,64050.0,,,,56100,,,70620.0,,,,73680.0,75240.0,,53880.0,,,51480.0,75480.0,59370.0,16350,75090.0,61920.0,,41550.0,61380.0,48270.0,84870.0,
,79920.0,,,,,56430,,,,,,,,75570.0,,,,,,79380.0,85410.0,42720,,69720.0,,41880.0,,,85200.0,
,80250.0,,,,,61740,,,,,,,,,,,,,,79830.0,85740.0,43050,,,,42330.0,,,,
,,,,,,62070,,,,,,,,,,,,,,,,43380,,,,,,,,
