G13,G20,G19,G12,G29,G27,G01,G30,G08,G06,G26,G05,G25,G16,G07,G24,G22,G04,G03,G32,G02,G14,G10,G11,G17,G09,G15,G31,G23,G18,G21
12030.0,30.0,2190.0,2760.0,14130.0,30090.0,42930.0,5310.0,35820.0,11970.0,29940.0,1290,8160.0,49140.0,930.0,23430.0,29430.0,30240.0,49380.0,24690.0,12930.0,3630.0,7260.0,14460.0,120.0,81750.0,930.0,31830.0,690.0,1080.0,37920.0
13230.0,330.0,2310.0,2850.0,14340.0,38370.0,45120.0,5340.0,45090.0,12090.0,39510.0,1350,8190.0,70500.0,38040.0,23730.0,29460.0,53670.0,53460.0,24990.0,12960.0,4530.0,7410.0,14610.0,180.0,81780.0,1110.0,33030.0,990.0,1530.0,38100.0
13290.0,630.0,3000.0,2970.0,14430.0,45120.0,45600.0,5430.0,45120.0,12180.0,39900.0,1500,8460.0,70620.0,38130.0,23790.0,29490.0,53730.0,55530.0,25290.0,28530.0,5430.0,7860.0,14820.0,210.0,81810.0,1140.0,33240.0,1080.0,1590.0,38130.0
13320.0,840.0,3300.0,3060.0,14490.0,49980.0,49350.0,5580.0,49380.0,12210.0,39960.0,1890,8520.0,70800.0,38250.0,23820.0,29520.0,53970.0,72780.0,25590.0,79800.0,5730.0,7890.0,14910.0,330.0,81840.0,9930.0,33630.0,1590.0,1830.0,38220.0
13350.0,930.0,3600.0,3270.0,14520.0,50040.0,53280.0,,53190.0,12300.0,40200.0,2190,8550.0,71010.0,38280.0,23850.0,29880.0,54180.0,72870.0,25890.0,79920.0,6030.0,7920.0,14970.0,360.0,81900.0,10530.0,33930.0,1890.0,1890.0,38280.0
13380.0,1020.0,3810.0,3360.0,14730.0,50190.0,53310.0,,53250.0,12510.0,40260.0,2250,8670.0,71070.0,42390.0,23880.0,62070.0,54270.0,72900.0,27390.0,80130.0,9330.0,7950.0,15000.0,450.0,81930.0,10710.0,34230.0,9990.0,2130.0,38400.0
13470.0,1080.0,3900.0,3420.0,14910.0,50280.0,53460.0,,53430.0,12600.0,40500.0,2280,8760.0,71130.0,42510.0,23910.0,62100.0,54330.0,72960.0,45120.0,80160.0,47610.0,7980.0,15120.0,750.0,,10830.0,34440.0,10590.0,2370.0,38430.0
13560.0,1230.0,4200.0,3570.0,14940.0,50580.0,55500.0,,53550.0,12660.0,40590.0,2400,8820.0,71160.0,42570.0,23940.0,62130.0,54480.0,72990.0,45330.0,80190.0,48570.0,8040.0,15210.0,1050.0,,11130.0,34530.0,10890.0,2490.0,38520.0
,1530.0,4500.0,3660.0,15030.0,50880.0,55530.0,,54390.0,12810.0,40710.0,2490,8850.0,71220.0,42660.0,24030.0,62220.0,54570.0,,53430.0,80220.0,49020.0,9300.0,15510.0,1080.0,,11430.0,34740.0,11190.0,2580.0,38610.0
,1590.0,4800.0,3720.0,15330.0,50940.0,62100.0,,54480.0,12900.0,40800.0,2580,8970.0,,42870.0,,,54630.0,,55530.0,,55410.0,16410.0,15720.0,1350.0,,11640.0,34830.0,11250.0,2700.0,38700.0
,1830.0,5100.0,3750.0,15390.0,50970.0,64890.0,,54600.0,12960.0,40860.0,2700,9060.0,,42900.0,,,54780.0,,58830.0,,55500.0,,15810.0,1410.0,,11730.0,35130.0,11400.0,2790.0,39000.0
,1890.0,5160.0,3870.0,15540.0,51180.0,65190.0,,54690.0,13110.0,41010.0,2790,9120.0,,45390.0,,,54870.0,,58860.0,,55710.0,,15870.0,1560.0,,11820.0,35430.0,11490.0,22410.0,39180.0
,2040.0,5400.0,3960.0,15630.0,51480.0,65250.0,,54900.0,13200.0,41100.0,3000,9240.0,,45690.0,,,54930.0,,58890.0,,56010.0,,16110.0,1650.0,,11910.0,35730.0,11790.0,22470.0,39420.0
,2130.0,5700.0,4020.0,15690.0,51540.0,65280.0,,54990.0,13260.0,41490.0,3090,9360.0,,65610.0,,,55080.0,,58920.0,,56310.0,,16410.0,1710.0,,12030.0,35820.0,11850.0,22620.0,39510.0
,2340.0,6000.0,4050.0,15840.0,51660.0,65520.0,,55470.0,13410.0,41610.0,3150,9420.0,,65670.0,,,55470.0,,,,56610.0,,16470.0,1950.0,,12090.0,36330.0,12000.0,22710.0,39600.0
,2430.0,6300.0,4140.0,15930.0,51690.0,65820.0,,55530.0,13500.0,41700.0,3180,9540.0,,66090.0,,,55530.0,,,,56910.0,,16590.0,2160.0,,12240.0,36540.0,12090.0,23010.0,45120.0
,2850.0,6600.0,4170.0,15990.0,51780.0,66030.0,,55590.0,13560.0,41790.0,3390,9570.0,,66210.0,,,55680.0,,,,57120.0,,16620.0,2250.0,,12330.0,36690.0,12300.0,23220.0,45150.0
,2940.0,6660.0,4260.0,16110.0,51990.0,66120.0,,55680.0,13710.0,42000.0,3450,9750.0,,66300.0,,,55770.0,,,,57210.0,,16710.0,2340.0,,12630.0,37530.0,12390.0,23310.0,49320.0
,3030.0,6810.0,4320.0,16230.0,52080.0,66180.0,,55890.0,13800.0,42210.0,3600,9960.0,,66510.0,,,55860.0,,,,57270.0,,17010.0,2460.0,,12720.0,55590.0,12600.0,23610.0,49380.0
,3330.0,16500.0,4440.0,16290.0,52140.0,66300.0,,56100.0,13860.0,42510.0,3690,10170.0,,66720.0,,,55980.0,,,,57420.0,,17610.0,2550.0,,12840.0,55650.0,12690.0,23910.0,53280.0
,3630.0,17700.0,4560.0,16440.0,52290.0,66330.0,,56190.0,14100.0,42600.0,3900,10260.0,,66810.0,,,56070.0,,,,57510.0,,18210.0,2610.0,,12930.0,55800.0,12870.0,24210.0,53310.0
,3930.0,57090.0,4620.0,16530.0,52380.0,66420.0,,56370.0,14700.0,42690.0,3990,10320.0,,67020.0,,,56130.0,,,,57690.0,,26310.0,2760.0,,12990.0,55890.0,12990.0,24390.0,53370.0
,24540.0,57390.0,4740.0,16830.0,52440.0,66720.0,,56490.0,14760.0,42810.0,4080,10470.0,,67110.0,,,56160.0,,,,57810.0,,26610.0,2850.0,,13020.0,56190.0,13050.0,24510.0,53400.0
,25440.0,58290.0,4770.0,16890.0,52470.0,67020.0,,56550.0,22410.0,42900.0,4200,10560.0,,67200.0,,,56370.0,,,,58110.0,,26910.0,3150.0,,13140.0,56250.0,13290.0,24570.0,53460.0
,25530.0,58590.0,4860.0,17010.0,52590.0,67080.0,,56580.0,22500.0,42960.0,4290,10650.0,,67410.0,,,56580.0,,,,58410.0,,27210.0,3210.0,,13230.0,56490.0,13590.0,24720.0,55440.0
,25680.0,58950.0,4920.0,17040.0,52680.0,67200.0,,56670.0,65970.0,42990.0,4350,10740.0,,68910.0,,,56670.0,,,,58500.0,,27810.0,3450.0,,13290.0,56700.0,13650.0,24810.0,55500.0
,30660.0,66690.0,5040.0,17130.0,52890.0,67620.0,,56790.0,66270.0,43080.0,4380,10770.0,,69510.0,,,56730.0,,,,58710.0,,67830.0,3660.0,,13320.0,56790.0,13890.0,25020.0,55530.0
,30750.0,66990.0,5160.0,17190.0,52980.0,67920.0,,56850.0,66870.0,43200.0,4470,10860.0,,70470.0,,,56850.0,,,,58770.0,,68040.0,13950.0,,13530.0,57090.0,14100.0,25110.0,55560.0
,30780.0,67200.0,5220.0,17340.0,53040.0,67980.0,,57000.0,74670.0,43260.0,4500,11040.0,,76320.0,,,56970.0,,,,58890.0,,68730.0,14550.0,,13590.0,57150.0,14190.0,25200.0,63720.0
,30870.0,67590.0,5370.0,17430.0,53070.0,68010.0,,57090.0,74970.0,43410.0,4590,11070.0,,,,,57030.0,,,,59010.0,,69030.0,53430.0,,13740.0,57390.0,14400.0,25410.0,63780.0
,70470.0,67890.0,5460.0,17490.0,53160.0,68100.0,,57300.0,75030.0,43500.0,4650,11160.0,,,,,57180.0,,,,59070.0,,69330.0,54870.0,,13830.0,66090.0,14490.0,25620.0,64020.0
,75210.0,68100.0,5520.0,17940.0,53190.0,68130.0,,57390.0,75270.0,43800.0,4800,11220.0,,,,,57270.0,,,,59220.0,,70590.0,55530.0,,13890.0,66150.0,14550.0,25710.0,64080.0
,76110.0,68190.0,5670.0,18030.0,53370.0,68220.0,,57600.0,75570.0,43860.0,4890,11940.0,,,,,57570.0,,,,59310.0,,78570.0,56070.0,,14040.0,66210.0,14790.0,25770.0,64320.0
,76200.0,68250.0,5760.0,18330.0,53430.0,68280.0,,57690.0,75630.0,44010.0,4950,11970.0,,,,,57870.0,,,,76320.0,,78630.0,64770.0,,14130.0,66300.0,15000.0,25920.0,64380.0
,76290.0,68490.0,5970.0,18630.0,53520.0,68430.0,,57750.0,75750.0,44100.0,5070,12120.0,,,,,57930.0,,,,76800.0,,78840.0,65070.0,,14190.0,,15090.0,26010.0,64530.0
,78570.0,68550.0,6060.0,18930.0,53580.0,,,57870.0,75870.0,44310.0,5190,29970.0,,,,,58080.0,,,,77100.0,,78930.0,65370.0,,14310.0,,30720.0,26070.0,64620.0
,84510.0,68700.0,6360.0,20130.0,53670.0,,,57900.0,76170.0,44400.0,5250,31470.0,,,,,58170.0,,,,77700.0,,79230.0,65430.0,,14430.0,,31020.0,26190.0,64680.0
,84570.0,68790.0,6570.0,28230.0,53790.0,,,57990.0,76230.0,44580.0,5400,32820.0,,,,,58980.0,,,,78000.0,,79530.0,65460.0,,14640.0,,31230.0,26310.0,64920.0
,84810.0,68970.0,6660.0,28290.0,53880.0,,,58080.0,76260.0,44700.0,5490,32970.0,,,,,67470.0,,,,78300.0,,79830.0,65670.0,,14730.0,,31320.0,26400.0,65130.0
,85110.0,69090.0,6750.0,28530.0,53940.0,,,58200.0,76320.0,44760.0,5550,33240.0,,,,,67770.0,,,,78360.0,,79890.0,66360.0,,14790.0,,31530.0,26610.0,65250.0
