G27,G22,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G18,G30,G10,G31,G04,G23,G11
1419.0,720.0,667.0,2249.0,447.0,1142.0,1508,665.0,1266.0,1941.0,232.0,573.0,337.0,181.0,1194.0,26.0,1.0,360.0,38.0,623.0,808.0,225.0,114.0,1677.0,66.0,164.0,226,909.0,973.0,232.0,698.0
1430.0,731.0,678.0,2260.0,458.0,1153.0,1519,676.0,1277.0,1952.0,243.0,584.0,348.0,192.0,1613.0,1263.0,301.0,371.0,49.0,634.0,819.0,236.0,125.0,1688.0,89.0,175.0,242,920.0,984.0,243.0,709.0
1441.0,742.0,689.0,2271.0,469.0,1164.0,1628,687.0,1288.0,1963.0,254.0,595.0,359.0,203.0,1624.0,1274.0,312.0,382.0,60.0,645.0,830.0,1020.0,922.0,1699.0,1062.0,2620.0,298,931.0,995.0,254.0,720.0
,979.0,,,,,1639,936.0,1633.0,,476.0,737.0,585.0,555.0,1635.0,1401.0,1761.0,792.0,441.0,897.0,,1031.0,933.0,,1073.0,2631.0,313,1242.0,1006.0,503.0,913.0
,990.0,,,,,1769,947.0,1644.0,,487.0,748.0,596.0,566.0,,1422.0,1772.0,803.0,453.0,908.0,,1133.0,944.0,,1084.0,2642.0,351,1253.0,2114.0,1314.0,924.0
,1774.0,,,,,1843,2494.0,2434.0,,2042.0,2332.0,2113.0,1364.0,,1517.0,1783.0,,,1694.0,,1144.0,1023.0,,1433.0,,362,2024.0,2125.0,1325.0,2481.0
,1785.0,,,,,1859,2505.0,2445.0,,2053.0,2343.0,2124.0,1375.0,,2497.0,1968.0,,,1705.0,,2769.0,1035.0,,2818.0,,534,2035.0,2136.0,1336.0,2492.0
,1796.0,,,,,1870,2516.0,2456.0,,2064.0,2354.0,2135.0,1386.0,,2508.0,1979.0,,,1716.0,,,2653.0,,2829.0,,545,2046.0,,1609.0,2503.0
,,,,,,1881,2646.0,,,2324.0,,,1398.0,,2519.0,2847.0,,,,,,2664.0,,2840.0,,1424,,,,
,,,,,,2058,2661.0,,,,,,1412.0,,,2858.0,,,,,,2675.0,,,,1435,,,,
,,,,,,2069,,,,,,,,,,,,,,,,,,,,1446,,,,
