G27,G22,G25,G09,G12,G26,G01,G02,G16,G03,G17,G06,G19,G15,G08,G07,G14,G24,G13,G32,G29,G05,G20,G21,G18,G30,G10,G31,G04,G23,G11
29550.0,29430.0,8160.0,57450.0,2760.0,29940.0,42930.0,12930.0,49140.0,49380.0,450.0,11970.0,17700.0,930.0,35820.0,930.0,3630.0,23730.0,13230.0,27390.0,14130.0,1290,2730.0,49380.0,1080.0,5310.0,7260.0,34530.0,30240.0,690.0,14010.0
29610.0,29460.0,8190.0,57750.0,2850.0,39510.0,42960.0,12960.0,70500.0,72780.0,750.0,12000.0,72090.0,1110.0,45090.0,38040.0,4530.0,23790.0,13290.0,45120.0,14340.0,1350,2790.0,53310.0,1530.0,5340.0,7410.0,35130.0,53670.0,990.0,14040.0
29670.0,29490.0,8460.0,58350.0,2970.0,39900.0,42990.0,28230.0,70620.0,72840.0,1050.0,12030.0,72120.0,10530.0,45120.0,38130.0,5430.0,23820.0,13320.0,55530.0,14430.0,1500,2820.0,53460.0,1830.0,5430.0,7860.0,35730.0,53730.0,1080.0,14070.0
29760.0,29520.0,8520.0,58650.0,3060.0,39960.0,43050.0,28320.0,70800.0,72870.0,1080.0,12300.0,72150.0,10710.0,49380.0,38250.0,5730.0,23850.0,13350.0,58860.0,14490.0,1890,2850.0,55530.0,1890.0,5580.0,7890.0,37530.0,53970.0,1590.0,14190.0
29790.0,29880.0,8550.0,59550.0,3270.0,40200.0,43080.0,28440.0,71010.0,72900.0,1350.0,12510.0,72210.0,10830.0,53190.0,38280.0,6030.0,23880.0,13380.0,58890.0,14520.0,2190,2880.0,65220.0,2130.0,70470.0,7920.0,55890.0,54180.0,1890.0,14220.0
30090.0,62070.0,8640.0,59610.0,3360.0,40260.0,43110.0,28470.0,71070.0,72960.0,1410.0,12600.0,,11130.0,53250.0,42390.0,9330.0,23910.0,13410.0,58920.0,14730.0,2250,2970.0,65250.0,2190.0,,7950.0,57090.0,54270.0,9990.0,14310.0
38370.0,62100.0,8670.0,59760.0,3420.0,40500.0,45600.0,28530.0,71160.0,72990.0,1560.0,12660.0,,11430.0,53430.0,42510.0,47610.0,23940.0,13560.0,,14910.0,2280,3930.0,65340.0,2220.0,,7980.0,66090.0,54330.0,10590.0,14400.0
45120.0,62130.0,8760.0,59850.0,3540.0,40590.0,49350.0,79800.0,71190.0,73020.0,1650.0,12900.0,,11730.0,53550.0,42570.0,48570.0,23970.0,,,14940.0,2400,30570.0,65400.0,2280.0,,8040.0,66150.0,54480.0,10890.0,14430.0
49980.0,62220.0,8820.0,60060.0,3570.0,40710.0,53460.0,79920.0,71220.0,73290.0,1710.0,12960.0,,11820.0,54390.0,42660.0,55410.0,24030.0,,,15030.0,2490,30600.0,,2310.0,,9300.0,66180.0,54570.0,11190.0,14460.0
50040.0,,8850.0,60150.0,3660.0,40800.0,55530.0,80130.0,75810.0,,1950.0,13200.0,,11910.0,54480.0,42870.0,55500.0,,,,15330.0,2580,30630.0,,2370.0,,16410.0,66210.0,54630.0,11250.0,14490.0
50190.0,,8970.0,61050.0,3720.0,40860.0,62100.0,80160.0,,,2160.0,13410.0,,12030.0,54600.0,42900.0,55710.0,,,,15390.0,2700,30660.0,,2490.0,,,66300.0,54780.0,11400.0,14520.0
50280.0,,9060.0,61260.0,3870.0,41010.0,,80190.0,,,2250.0,13500.0,,12090.0,54690.0,45390.0,56010.0,,,,15540.0,2790,30690.0,,2580.0,,,,54870.0,11490.0,14610.0
50880.0,,9120.0,61350.0,3960.0,41100.0,,80220.0,,,2340.0,13710.0,,12330.0,54900.0,45690.0,56310.0,,,,15630.0,3000,30780.0,,2700.0,,,,54930.0,11790.0,14910.0
50940.0,,9360.0,61560.0,4020.0,41490.0,,,,,2430.0,13800.0,,12630.0,54990.0,65610.0,56610.0,,,,15690.0,3090,30810.0,,2790.0,,,,55080.0,11850.0,15510.0
50970.0,,9420.0,62250.0,4050.0,41610.0,,,,,2460.0,14100.0,,12720.0,55470.0,65670.0,56910.0,,,,15840.0,3150,30870.0,,22410.0,,,,55470.0,12000.0,15810.0
